FID,GEOID10,GEOID_Data,TotPop,TotalHouse,PMale,PFemale,PWhite,PBlack,PAsian,Phispanic,PBachelorHigher,MedianHouseIncome,PPovertyHouse,PPovertyIndv,PEmploy,Punemploy,PFulltimeEmploy,PParttimeEmploy,POccupyHouse,POwner,PRenter
0,170438400002,15000US170438400002,1239,353,0.523002421,0.476997579,0.884584342,0.026634383,0.037933818,0.707021792,0.104923325,49375,0.161473088,0.135491607,0.87197724,0.12802276,0.62006079,0.288753799,0.909793814,0.283505155,0.62628866
1,170312427001,15000US170312427001,1627,725,0.539028888,0.460971112,0.547019053,0.229870928,0.03318992,0.395820529,0.266133989,31375,0.306206897,0.291338583,0.880626223,0.119373777,0.711851852,0.197777778,0.905118602,0.18102372,0.724094881
2,170312426004,15000US170312426004,1151,508,0.45264987,0.54735013,0.77497828,0.164205039,0.026064292,0.278019114,0.365768897,40603,0.147637795,0.236442516,0.978670013,0.021329987,0.78219697,0.201704545,0.881944444,0.354166667,0.527777778
3,170312426003,15000US170312426003,1805,713,0.544044321,0.455955679,0.870360111,0.077562327,0.007202216,0.220498615,0.474238227,74778,0.07713885,0.056818182,0.951006124,0.048993876,0.790502793,0.170391061,0.928385417,0.2890625,0.639322917
4,170312426002,15000US170312426002,1724,784,0.538863109,0.461136891,0.839907193,0.099767981,0.015081206,0.351508121,0.349187935,53984,0.113520408,0.157679181,0.896094326,0.103905674,0.796035806,0.113810742,0.952612394,0.253948967,0.698663426
5,170312426001,15000US170312426001,1279,506,0.524628616,0.475371384,0.491790461,0.193119625,0,0.592650508,0.22595778,48143,0.160079051,0.123100304,0.80952381,0.19047619,0.713151927,0.155328798,0.75748503,0.194610778,0.562874251
6,170312425002,15000US170312425002,1803,701,0.530227399,0.469772601,0.842484748,0.039933444,0.027176927,0.264559068,0.378813089,78583,0.061340942,0.068389058,0.957711443,0.042288557,0.731582319,0.235746316,0.983169705,0.315568022,0.667601683
7,170312425001,15000US170312425001,1806,855,0.50110742,0.49889258,0.617386489,0.093023256,0.026024363,0.301218162,0.458471761,52083,0.299415205,0.234782609,0.919781222,0.080218778,0.703103914,0.237516869,0.886010363,0.338860104,0.547150259
8,170312424002,15000US170312424002,1805,804,0.495290859,0.504709141,0.932963989,0.019390582,0.009418283,0.03601108,0.431024931,76357,0.103233831,0.135041551,0.957735247,0.042264753,0.733493397,0.234693878,0.928406467,0.269053118,0.659353349
9,170312424001,15000US170312424001,1061,566,0.496701225,0.503298775,0.918001885,0.010367578,0.027332705,0.055607917,0.681432611,82639,0.053003534,0.062165059,0.968072976,0.031927024,0.871568627,0.100980392,0.828696925,0.243045388,0.585651537
10,170312423002,15000US170312423002,1757,902,0.551508253,0.448491747,0.877063176,0.032441662,0.049516221,0.062037564,0.644280023,86855,0.103104213,0.089502019,0.981415297,0.018584703,0.869314542,0.114029468,0.877431907,0.39688716,0.480544747
11,170312423001,15000US170312423001,1277,667,0.520751762,0.479248238,0.772905247,0.014878622,0.071260767,0.15348473,0.599843383,87875,0.070464768,0.053442029,0.948176583,0.051823417,0.864279767,0.090757702,0.93943662,0.347887324,0.591549296
12,170312422002,15000US170312422002,1613,877,0.512709237,0.487290763,0.853068816,0.062616243,0.029138252,0.177929324,0.585864848,84607,0.042189282,0.069412662,0.969869707,0.030130293,0.876373626,0.098214286,0.910695742,0.314641745,0.596053998
13,170312004011,15000US170312004011,831,294,0.53188929,0.46811071,0.339350181,0.110709988,0.054151625,0.845968712,0.028880866,31071,0.210884354,0.213279678,0.941919192,0.058080808,0.622704508,0.338898164,0.957654723,0.338762215,0.618892508
14,170312004021,15000US170312004021,1227,337,0.464547677,0.535452323,0.295028525,0.005704971,0.04400978,0.850855746,0.079054605,43073,0.350148368,0.234693878,0.966777409,0.033222591,0.715517241,0.259852217,0.830049261,0.396551724,0.433497537
15,170312003002,15000US170312003002,975,277,0.49025641,0.50974359,0.41025641,0.004102564,0.031794872,0.901538462,0.027692308,40865,0.314079422,0.20913884,0.991820041,0.008179959,0.737704918,0.25633383,0.879365079,0.266666667,0.612698413
16,170312003001,15000US170312003001,1155,293,0.544588745,0.455411255,0.4,0.004329004,0.020779221,0.85021645,0.064935065,37336,0.211604096,0.133144476,0.833093525,0.166906475,0.64375,0.235416667,0.866863905,0.437869822,0.428994083
17,170312002004,15000US170312002004,1146,357,0.564572426,0.435427574,0.434554974,0.081151832,0,0.722513089,0.10034904,53854,0.12605042,0.103575832,0.898412698,0.101587302,0.575634518,0.359390863,0.881481481,0.412345679,0.469135802
18,170312002003,15000US170312002003,958,339,0.436325678,0.563674322,0.330897704,0.039665971,0,0.966597077,0.038622129,36971,0.185840708,0.189003436,0.978448276,0.021551724,0.576598311,0.411338963,0.946927374,0.502793296,0.444134078
19,170312002002,15000US170312002002,1421,524,0.548909219,0.451090781,0.42505278,0,0.028149191,0.934553132,0.057002111,28808,0.328244275,0.293933054,0.959952886,0.040047114,0.761384335,0.207650273,0.930728242,0.264653641,0.6660746
20,170312002001,15000US170312002001,1280,376,0.6015625,0.3984375,0.44921875,0.03046875,0.05625,0.7921875,0.096875,54559,0.122340426,0.055888224,0.914948454,0.085051546,0.626984127,0.314814815,0.954314721,0.459390863,0.494923858
21,170312001003,15000US170312001003,1647,657,0.531876138,0.468123862,0.633879781,0.009107468,0.09228901,0.562234366,0.177899211,38292,0.156773212,0.085714286,0.95379538,0.04620462,0.688694268,0.277866242,0.909972299,0.41966759,0.490304709
22,170312001002,15000US170312001002,1723,406,0.580383053,0.419616947,0.403946605,0.020313407,0.018572258,0.853163088,0.11781776,63750,0.054187192,0.048648649,0.957048458,0.042951542,0.624273256,0.347383721,1,0.694581281,0.305418719
23,170312001001,15000US170312001001,905,299,0.467403315,0.532596685,0.383425414,0.201104972,0,0.717127072,0.188950276,50117,0.204013378,0.094161959,0.950943396,0.049056604,0.75,0.209375,1,0.43812709,0.56187291
24,170318315002,15000US170318315002,1436,400,0.472144847,0.527855153,0.545264624,0.098885794,0,0.818245125,0.096796657,56739,0.2675,0.091876209,0.893316195,0.106683805,0.669001751,0.258318739,0.858369099,0.56223176,0.296137339
25,170311404004,15000US170311404004,798,407,0.426065163,0.573934837,0.852130326,0,0.131578947,0.102756892,0.288220551,50727,0.211302211,0.180527383,0.962162162,0.037837838,0.473404255,0.507978723,1,0.454545455,0.545454545
26,170311404003,15000US170311404003,1089,360,0.505968779,0.494031221,0.693296602,0,0.021120294,0.374655647,0.369146006,85909,0,0,0.969147005,0.030852995,0.605292172,0.375964719,1,0.894444444,0.105555556
27,170311404002,15000US170311404002,1695,497,0.494985251,0.505014749,0.580530973,0,0.210029499,0.486135693,0.122713864,92740,0,0,0.939366516,0.060633484,0.777939042,0.173439768,1,0.653923541,0.346076459
28,170311404001,15000US170311404001,1485,499,0.517845118,0.482154882,0.474747475,0.008754209,0.317171717,0.398653199,0.173063973,42480,0.176352705,0.174553102,0.881562882,0.118437118,0.601200686,0.315608919,0.925788497,0.443413729,0.482374768
29,170311402003,15000US170311402003,2149,613,0.537924616,0.462075384,0.51977664,0.060958585,0.168915775,0.511400651,0.193578409,46602,0.22675367,0.148857775,1,0,0.723482526,0.276517474,0.863380282,0.129577465,0.733802817
30,170311402002,15000US170311402002,1311,545,0.452326468,0.547673532,0.641495042,0.013729977,0.295194508,0.488939741,0.209763539,27768,0.427522936,0.145882353,0.921228304,0.078771696,0.630314233,0.315157116,0.881877023,0.166666667,0.715210356
31,170311402001,15000US170311402001,2768,513,0.471820809,0.528179191,0.707731214,0.054913295,0.112355491,0.329118497,0.151372832,54602,0.210526316,0.197069597,0.960832313,0.039167687,0.789902913,0.185242718,0.892173913,0.302608696,0.589565217
32,170311401002,15000US170311401002,1800,618,0.506111111,0.493888889,0.653333333,0.137222222,0.141666667,0.308888889,0.196111111,53060,0.16828479,0.156898106,0.937286203,0.062713797,0.750791139,0.205696203,0.902189781,0.291970803,0.610218978
33,170311401001,15000US170311401001,1813,508,0.478764479,0.521235521,0.541643685,0.17539989,0.073359073,0.587975731,0.106453392,35455,0.281496063,0.400315209,0.88011988,0.11988012,0.679733728,0.231508876,0.87135506,0.14922813,0.72212693
34,170318318004,15000US170318318004,1332,398,0.532282282,0.467717718,0.693693694,0.003003003,0.196696697,0.233483483,0.204204204,0,0.072864322,0.070967742,0.905940594,0.094059406,0.63137558,0.309891808,0.921296296,0.55787037,0.363425926
35,170318318002,15000US170318318002,1153,331,0.579358196,0.420641804,0.382480486,0.169991327,0.123156982,0.473547268,0.347788378,96031,0.039274924,0.087769784,0.93715342,0.06284658,0.582513661,0.380327869,0.894594595,0.497297297,0.397297297
36,170318318001,15000US170318318001,1296,458,0.484567901,0.515432099,0.736111111,0.013888889,0.194444444,0.325617284,0.392746914,92717,0.072052402,0,0.980253879,0.019746121,0.723382046,0.262004175,1,0.521834061,0.478165939
