FID,GEOID10,GEOID_Data,P_WRKAGE,AUTOOWN0,PCT_AO0,AUTOOWN1,PCT_AO1,AUTOOWN2P,PCT_AO2P,WORKERS,R_LOWWAGEW,R_MEDWAGEW,R_HIWAGEWK,R_PCTLOWWA,EMPTOT,E5_RET10,E5_OFF10,E5_IND10,E5_SVC10,E5_ENT10,E8_RET10,E8_OFF10,E8_IND10,E8_SVC10,E8_ENT10,E8_ED10,E8_HLTH10,E8_PUB10,E_FEDT10,E_FEDRET10,E_FEDOFF10,E_FEDIND10,E_FEDSVC10,E_FEDENT10,E_LOWWAGEW,E_MEDWAGEW,E_HIWAGEWK,E_PCTLOWWA,AC_TOT,AC_WATER,AC_LAND,AC_UNPR,D1A,D1B,D1C,D1C5_Ret10,D1C5_Off10,D1C5_Ind10,D1C5_Svc10,D1C5_Ent10,D1C8_Ret10,D1C8_Off10,D1C8_Ind10,D1C8_Svc10,D1C8_Ent10,D1C8_Ed10,D1C8_Hlth1,D1C8_Pub10,D1D,D1_flag,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMIX,D3a,D3aao,D3amm,D3apo,D3b,D3bao,D3bmm3,D3bmm4,D3bpo3,D3bpo4,D4a,D4b025,D4b050,D4c,D4d,D5ar,D5ae,D5br,D5br_Flag,D5be,D5be_Flag,D5cr,D5cri,D5ce,D5cei,D5dr,D5dri,D5de,D5dei,NatWalkInd,TrAccess_I,Pop_byTr,Pop_byTr_m,Pop_byTr_1,Pop_byTr_a,Pct_Pop_by,Pct_Pop__1,Pct_Pop__2,Pct_Pop__3,HU_byTr,HH_byTr,Wrks_byTr,Wrks_byTr_,Wrks_byTr1,Wrks_byT_1,Pct_Wrks_b,Pct_Wrks_1,Pct_Wrks_2,Pct_Wrks_3,LoWgWrks_b,LoWgWrks_1,LoWgWrks_2,MeWgWrks_b,HiWgWrks_b,LoMeWgWrks,LoMeWgWr_1,LoMeWgWr_2,Pct_LoWgWr,Pct_LoWg_1,Pct_LoWg_2,Pct_LoWg_3,Pct_MeWgWr,Pct_LoMeWg,Pct_LoMe_1,Pct_LoMe_2,Pct_LoMe_3,Jobs_byTr,Jobs_byTr_,Jobs_byTr1,Job_byTr_A,Pct_Jobs_b,Pct_Jobs_1,Pct_Jobs_2,Pct_Jobs_3
0,1.70438E+11,15000US170438400002,0.70249,0,0,250,0.62637,149,0.37362,615,153,279,183,0.24878,11387,912,506,8182,1703,84,912,481,8182,1676,84,8,19,25,25,0,25,0,0,0,1229,4682,5476,0.1,2793.84375,0,2793.84375,2793.840088,0.143171929,0.459581893,4.075746899,0.326431999,0.181112491,2.928581815,0.599890384,0.030066105,0.326431999,0.172164245,2.928581815,0.599890384,0.599890384,0.002863439,0.006800667,0.008948246,4.218918828,0,28.4675,0.558237,0.558237,0.442817,0.442817,0.567111,0.714523,0.610392,0.385442,0.408097,0.100264,0.054009,0.388295,4.079999924,0.23,1.13,2.72,8.536919594,0.11,4.81,0.22,5.95,1.14,618.146293,0,0.026400276,37,8.475776,305054.7776,391250.65,969.05,1,253.79,0,0.000203,0.39,0.01,0.54,1.17E-05,0.004367431,3.58E-06,0.002454926,10.333,0.002454926,9377,0,2313560,429288,0.00099111,0,0.244533002,0.045373999,3038,2917,4211,0,967562,178373,0.0010355,0.000191805,0.237927005,0.043862499,969,149,207030,1612,1630,2581,347,536088,0.00100632,0.000154738,0.215002999,0.0401587,0.00121077,0.00112496,0.000151244,0.233660996,0.043499298,1618,1233534,7,268229,0.000388801,1.68E-06,0.296415001,0.064454801
1,1.70312E+11,15000US170312427001,0.7097,172,0.21052,519,0.63292,128,0.15654,813,200,339,274,0.246,165,1,94,49,11,10,1,94,49,11,10,0,0,0,0,0,0,0,0,0,29,82,54,0.17,43.38545227,0,43.38545227,43.38550186,18.90034463,46.76682837,3.803118128,0.023049201,2.166624873,1.129410838,0.253541209,0.230492008,0.023049201,2.166624873,1.129410838,0.253541209,0.253541209,0,0,0,22.70346276,0,0.20122,0.660157,0.660157,0.660157,0.510945,0.351554,0.286062,0.290722,0.001244,0.069068,0.343942,4.927273,0.019697,23.85000038,0,2.35,21.5,68.84230042,0,7.37,29.5,29.5,14.75,362.651318,0,0,231.3333333,3412.501333,437244.6534,591346.3618,50158.9,0,49450.58,1,0.000292,0.57,0.02,0.82,0.0006077,0.22,0.000698084,0.47,13.667,0.47,1304955,0,2313560,429288,0.137927994,0,0.244533002,0.045373999,576582,505890,531410,0,967562,178373,0.130676001,0.000191805,0.237927005,0.043862499,109935,149,207030,189234,232241,299169,347,536088,0.114168003,0.000154738,0.215002999,0.0401587,0.142132998,0.130395994,0.000151244,0.233660996,0.043499298,919664,1233534,7,268229,0.220992997,1.68E-06,0.296415001,0.064454801
2,1.70312E+11,15000US170312426004,0.82013,51,0.10285,406,0.81428,41,0.08285,398,90,166,142,0.22613,55,1,0,49,5,0,1,0,49,4,0,0,1,0,0,0,0,0,0,0,3,24,28,0.05,25.55348778,0,25.55348778,25.55349922,19.527667,40.03367403,2.152348066,0.039133601,0,1.917546459,0.156534405,0,0.039133601,0,1.917546459,0.156534405,0.156534405,0,0.039133601,0,21.68001507,0,0.11022,0.358418,0.244658,0.316855,0.211236,0.26155,0.169024,0.150229,0,0.046204,0.247789,7.236364,0.001957,22.62000084,0,2.98,19.64,79.3309021,0,12.52,0,50.09,37.57,653.552213,0,0,189,4733.610667,469452.6568,621277.2453,47176.92,0,31302.23,0,0.000313,0.61,0.02,0.86,0.000571572,0.21,0.000441887,0.3,13,0.3,1250821,0,2313560,429288,0.132207006,0,0.244533002,0.045373999,555105,486515,510624,0,967562,178373,0.125563994,0.000191805,0.237927005,0.043862499,105281,149,207030,181092,224251,286373,347,536088,0.109334998,0.000154738,0.215002999,0.0401587,0.136017993,0.124819003,0.000151244,0.233660996,0.043499298,908749,1233534,7,268229,0.218370005,1.68E-06,0.296415001,0.064454801
3,1.70312E+11,15000US170312426003,0.86887,213,0.26265,291,0.35841,308,0.37893,918,206,357,355,0.2244,135,8,4,2,120,1,8,4,2,120,1,0,0,0,0,0,0,0,0,0,39,57,39,0.28,30.64035797,0,30.64035797,30.64039993,26.53363256,53.26308529,4.405953747,0.261093555,0.130546778,0.065273389,3.91640333,0.032636694,0.261093555,0.130546778,0.065273389,3.91640333,3.91640333,0,0,0,30.93958631,0,0.166052,0.295231,0.295231,0.295231,0.228502,0.266202,0.39019,0.432835,0.283317,0.070215,0.26161,6.8,0.003028,26.55999947,0,2.49,24.07,74.83350372,0,0,20.88,10.44,46.99,429.777119,0,0.002769165,244.3333333,5103.509333,446082.5642,584656.4563,42146.43,0,47690.91,1,0.000298,0.58,0.02,0.81,0.000510625,0.18,0.000673243,0.46,12,0.46,1199171,0,2313560,429288,0.126746997,0,0.244533002,0.045373999,536890,470190,492998,0,967562,178373,0.121229999,0.000191805,0.237927005,0.043862499,101348,149,207030,173709,217941,275057,347,536088,0.105250999,0.000154738,0.215002999,0.0401587,0.130472004,0.119887002,0.000151244,0.233660996,0.043499298,906280,1233534,7,268229,0.217776999,1.68E-06,0.296415001,0.064454801
4,1.70312E+11,15000US170312426002,0.76014,254,0.3363,283,0.37351,219,0.29017,648,145,284,219,0.22376,133,13,5,22,82,11,13,5,22,20,11,35,27,0,0,0,0,0,0,0,72,42,19,0.54,30.62016487,0,30.62016487,30.6201992,24.75492876,54.7351723,4.343542909,0.424556826,0.163291087,0.718480782,0.653164347,0.359240391,0.424556826,0.163291087,0.718480782,0.653164347,0.653164347,1.143037608,0.881771869,0,29.09847167,0,0.175462,0.716143,0.716143,0.93238,0.872508,0.331232,0.459343,0.498331,0.227286,0.067455,0.347156,4.87218,0.020813,29.51000023,0,4.98,24.53,71.41030121,0,0,20.9,20.9,36.57,510.063998,0,0,100.6666667,2104.059733,465907.5682,615371.2494,42972.07,0,37992.29,1,0.000311,0.61,0.02,0.86,0.000520628,0.19,0.00053633,0.36,15.5,0.36,1278632,0,2313560,429288,0.135146007,0,0.244533002,0.045373999,571213,501733,526659,0,967562,178373,0.129507005,0.000191805,0.237927005,0.043862499,108235,149,207030,186340,232084,294575,347,536088,0.112402998,0.000154738,0.215002999,0.0401587,0.139960006,0.128393993,0.000151244,0.233660996,0.043499298,904041,1233534,7,268229,0.217239007,1.68E-06,0.296415001,0.064454801
5,1.70312E+11,15000US170312426001,0.77533,200,0.28037,286,0.40186,226,0.31775,570,136,255,179,0.23859,55,7,14,2,31,1,7,14,2,0,1,0,31,0,0,0,0,0,0,0,21,21,13,0.38,30.75,0,30.74541473,30.74539948,23.22297507,48.78776276,1.788884635,0.227676226,0.455352452,0.06505035,0,0.032525175,0.227676226,0.455352452,0.06505035,0,0,0,1.00828043,0,25.01185971,0,0.077031,0.70036,0.70036,0.70036,0.542062,0.188739,0.270505,0.299029,0.003993,0.031744,0.179737,10.363636,0.000086,22.84339905,0,0,22.84340615,43.36330032,0,0,0,10.40155096,36.42543134,834.373335,0,0,104.3333333,2171.818667,451707.9767,604428.0376,41614.92,0,32946.89,1,0.000301,0.59,0.02,0.84,0.000504185,0.18,0.000465105,0.31,12.167,0.31,1258030,0,2313560,429288,0.132969007,0,0.244533002,0.045373999,566699,497354,519259,0,967562,178373,0.127688006,0.000191805,0.237927005,0.043862499,106192,149,207030,182799,230268,288991,347,536088,0.110280998,0.000154738,0.215002999,0.0401587,0.1373,0.125960007,0.000151244,0.233660996,0.043499298,902241,1233534,7,268229,0.216805995,1.68E-06,0.296415001,0.064454801
6,1.70312E+11,15000US170312425002,0.84472,139,0.17503,494,0.61836,165,0.20659,790,156,287,347,0.19746,164,6,99,3,9,47,6,99,3,6,47,3,0,0,0,0,0,0,0,0,48,60,56,0.29,35.72572327,0,35.72572327,35.72570038,22.36483763,45.06556769,4.590529876,0.167946215,2.771112547,0.083973107,0.167946215,1.315578684,0.167946215,2.771112547,0.083973107,0.167946215,0.167946215,0.083973107,0,0,26.9553675,0,0.205257,0.631499,0.631499,0.586736,0.505563,0.351303,0.419381,0.464444,0.109314,0.085767,0.350431,4.817073,0.021992,24.71999931,0,4.27,20.45,55.23410034,0,0,8.95,22.39,31.35,369.86554,0,0.171538099,233,4174.016,475868.9578,613114.2465,52613.66,0,50220.18,1,0.000318,0.62,0.02,0.85,0.00063744,0.23,0.000708948,0.48,13,0.48,1416631,0,2313560,429288,0.149731994,0,0.244533002,0.045373999,632285,557124,585364,0,967562,178373,0.143942997,0.000191805,0.237927005,0.043862499,121170,149,207030,206657,257537,327827,347,536088,0.125836,0.000154738,0.215002999,0.0401587,0.155220002,0.142886996,0.000151244,0.233660996,0.043499298,956149,1233534,7,268229,0.229760006,1.68E-06,0.296415001,0.064454801
7,1.70312E+11,15000US170312425001,0.81564,299,0.33551,316,0.35386,277,0.31061,912,195,341,376,0.21381,105,19,9,1,62,14,19,9,1,10,14,49,3,0,0,0,0,0,0,0,41,39,25,0.39,40.83200455,0,40.83200455,40.83200073,21.89459004,44.76880379,2.571512253,0.465321265,0.220415336,0.024490593,0.244905929,0.3428683,0.465321265,0.220415336,0.024490593,0.244905929,0.244905929,1.200039051,0.073471779,0,24.46610229,0,0.11745,0.710791,0.710791,0.778085,0.72812,0.254719,0.422601,0.469624,0.099262,0.049285,0.210799,8.685714,0.000459,18.97999954,0,3.73,15.25,41.79190063,0,15.67,7.83,0,23.51,175.603513,0,0,168,2633.237333,479923.882,622349.0364,47192.03,0,53098.92,1,0.00032,0.62,0.02,0.87,0.000571755,0.21,0.000749587,0.51,13.167,0.51,1292765,0,2313560,429288,0.136639997,0,0.244533002,0.045373999,586615,514945,536371,0,967562,178373,0.131896004,0.000191805,0.237927005,0.043862499,109312,149,207030,187590,239469,296902,347,536088,0.113521002,0.000154738,0.215002999,0.0401587,0.140898004,0.129408002,0.000151244,0.233660996,0.043499298,919302,1233534,7,268229,0.220906004,1.68E-06,0.296415001,0.064454801
8,1.70312E+11,15000US170312424002,0.90931,293,0.31284,448,0.47814,196,0.20901,1020,211,328,481,0.20686,253,28,86,5,91,43,28,86,5,16,43,58,17,0,0,0,0,0,0,0,80,124,49,0.31,40.53132248,0,40.53132248,40.53129959,23.16726775,39.17957527,6.242085985,0.690823745,2.121815789,0.123361383,0.394756426,1.060907895,0.690823745,2.121815789,0.123361383,0.394756426,0.394756426,1.430992044,0.419428703,0,29.40935373,0,0.269436,0.843112,0.843112,0.864815,0.80928,0.449239,0.577494,0.640031,0.423272,0.130977,0.404882,4.031621,0.048237,27.76000023,0,3.74,24.02,114.4800034,0,0,31.58,0,82.9,656.461905,0,0.054230389,209,3300.16,484859.8803,609351.7479,53692.28,0,60885.53,1,0.000324,0.63,0.02,0.85,0.000650508,0.24,0.000859509,0.58,16.833,0.58,1285127,0,2313560,429288,0.135832995,0,0.244533002,0.045373999,584507,512441,533183,0,967562,178373,0.131111994,0.000191805,0.237927005,0.043862499,108641,149,207030,185992,238550,294633,347,536088,0.112824999,0.000154738,0.215002999,0.0401587,0.139697999,0.128418997,0.000151244,0.233660996,0.043499298,925401,1233534,7,268229,0.222370997,1.68E-06,0.296415001,0.064454801
9,1.70312E+11,15000US170312424001,0.91411,136,0.19448,362,0.51454,204,0.29096,779,174,275,330,0.22336,45,0,1,1,12,31,0,1,1,5,31,0,7,0,0,0,0,0,0,0,25,11,9,0.55,40.53328323,0,40.53328323,40.53329849,17.36844252,29.01319376,1.110198741,0,0.024671083,0.024671083,0.123355416,0.764803577,0,0.024671083,0.024671083,0.123355416,0.123355416,0,0.172697582,0,18.47864126,0,0.06392,0,0,0,0,0.170217,0.354968,0.410813,0.029344,0.033105,0.111629,17.311111,0,37.08000183,0,3.73,33.35,496.2479858,0,110.53,55.26,402.66,98.69,420.63871,0,0,167,2636.842667,484066.4596,622134.4105,47193.4,0,42848.23,1,0.000323,0.63,0.02,0.86,0.000571771,0.21,0.00060488,0.41,13.833,0.41,1236229,0,2313560,429288,0.130664006,0,0.244533002,0.045373999,565867,495899,515278,0,967562,178373,0.126708999,0.000191805,0.237927005,0.043862499,104434,149,207030,178426,232418,282860,347,536088,0.108456001,0.000154738,0.215002999,0.0401587,0.134014994,0.123287998,0.000151244,0.233660996,0.043499298,911045,1233534,7,268229,0.218922004,1.68E-06,0.296415001,0.064454801
