FID,GEOID10,GEOID_Data,GasStation,VacLot,VacBldg,ParkingLot,AlleyCount,AlleyLen,ParkArea,HighSch
0,170438400002,15000US170438400002,0,0,0,0,0,0,0,0
1,170312427001,15000US170312427001,0,4,17,0,25,7593.380291,0,0
2,170312426004,15000US170312426004,0,0,13,0,23,4325.932493,0,1
3,170312426003,15000US170312426003,0,1,9,0,17,4529.200152,0,0
4,170312426002,15000US170312426002,0,3,10,0,18,4727.158237,0,2
5,170312426001,15000US170312426001,0,4,10,1,18,4547.093392,0,0
6,170312425002,15000US170312425002,1,0,9,0,26,7844.066998,0,0
7,170312425001,15000US170312425001,0,3,9,3,25,8145.910809,0,1
8,170312424002,15000US170312424002,1,0,6,0,40,7773.262021,2027.030029,0
9,170312424001,15000US170312424001,0,0,0,1,27,4907.30369,0,1
10,170312423002,15000US170312423002,0,0,8,0,51,9779.80017,0,0
11,170312423001,15000US170312423001,0,0,3,0,43,8470.185952,0,0
12,170312422002,15000US170312422002,1,0,7,0,36,7948.021185,12249.97021,0
13,170312004011,15000US170312004011,0,0,5,0,15,5673.162345,0,0
14,170312004021,15000US170312004021,0,1,13,0,33,9084.244069,0,0
15,170312003002,15000US170312003002,0,0,1,0,21,4080.545013,33868.02745,0
16,170312003001,15000US170312003001,0,0,9,0,20,3547.905422,0,0
17,170312002004,15000US170312002004,1,0,6,0,13,4451.919867,72572.20313,0
18,170312002003,15000US170312002003,1,0,10,0,9,3928.576589,0,0
19,170312002002,15000US170312002002,0,0,9,0,29,8333.725422,0,1
20,170312002001,15000US170312002001,0,0,3,3,8,4699.855622,0,0
21,170312001003,15000US170312001003,0,0,7,0,28,8960.714923,0,0
22,170312001002,15000US170312001002,0,0,7,2,22,6300.857919,0,0
23,170312001001,15000US170312001001,0,0,3,2,18,4675.571383,21543.5,0
24,170318315002,15000US170318315002,0,1,13,2,9,4395.087183,0,0
25,170311404004,15000US170311404004,0,0,3,0,21,6064.910513,0,0
26,170311404003,15000US170311404003,0,0,1,0,20,6214.451932,0,0
27,170311404002,15000US170311404002,0,0,4,0,17,5992.275407,0,0
28,170311404001,15000US170311404001,0,0,2,0,22,6894.947273,0,0
29,170311402003,15000US170311402003,0,0,10,0,19,5713.497924,0,0
30,170311402002,15000US170311402002,0,1,2,0,26,6647.961583,0,0
31,170311402001,15000US170311402001,0,0,3,4,10,4029.389904,0,0
32,170311401002,15000US170311401002,0,1,6,0,22,7116.73889,0,0
33,170311401001,15000US170311401001,0,7,2,1,12,3802.611768,109601.8199,0
34,170318318004,15000US170318318004,1,4,3,2,22,6458.006305,11381.59961,1
35,170318318002,15000US170318318002,0,0,0,1,31,9011.552575,0,0
36,170318318001,15000US170318318001,0,0,0,0,24,8022.161473,0,0
37,170310620001,15000US170310620001,0,2,5,2,11,3809.865608,1250.189941,0
38,170310632006,15000US170310632006,0,0,1,0,2,659.7938774,0,0
39,170310631001,15000US170310631001,0,0,1,1,7,1838.808995,0,0
40,170310630002,15000US170310630002,0,0,0,0,31,5095.007164,0,0
41,170310634001,15000US170310634001,0,2,4,0,17,3529.579189,0,0
42,170310633021,15000US170310633021,0,0,0,0,9,1399.532754,0,0
43,170310633023,15000US170310633023,0,0,2,0,8,1258.611003,0,0
44,170310701011,15000US170310701011,0,0,0,0,8,1374.645517,0,0
45,170310701012,15000US170310701012,0,0,2,0,2,357.9281383,0,0
46,170310714002,15000US170310714002,0,0,0,2,5,909.395486,2744559.898,0
47,170310714004,15000US170310714004,0,0,1,1,10,2151.828365,842215.6354,0
48,170310702002,15000US170310702002,0,0,3,0,15,4546.779507,0,0
49,170310718001,15000US170310718001,0,1,2,6,18,6512.13152,0,0
50,170310715006,15000US170310715006,0,0,1,0,10,1320.622756,0,0
51,170310801005,15000US170310801005,0,0,0,0,9,2165.248215,102302.5996,0
52,170310715005,15000US170310715005,1,0,0,1,0,0,0,0
53,170310803004,15000US170310803004,0,0,3,1,5,1282.987024,0,0
54,170310715001,15000US170310715001,0,2,1,1,16,2759.232026,0,0
55,170310803003,15000US170310803003,0,0,2,1,12,1118.560962,0,0
56,170310803001,15000US170310803001,0,0,6,0,9,1402.822603,0,0
57,170310802012,15000US170310802012,0,0,1,0,4,1271.29954,0,1
58,170310801004,15000US170310801004,0,0,0,0,8,1882.688259,1064028.6,0
59,170310801006,15000US170310801006,0,0,0,0,5,954.8912542,0,0
60,170310801001,15000US170310801001,0,0,0,0,8,1085.904313,0,0
61,170310802021,15000US170310802021,0,0,0,1,2,398.8631946,0,0
62,170310802013,15000US170310802013,0,0,0,0,4,1247.455753,0,0
63,170310810004,15000US170310810004,0,0,0,0,4,724.3369673,0,0
64,170310810006,15000US170310810006,0,0,0,0,8,1971.528193,0,0
65,170310810001,15000US170310810001,0,0,0,0,2,471.5097021,0,0
66,170310811002,15000US170310811002,0,0,1,1,0,0,0,0
67,170310811001,15000US170310811001,0,0,1,0,5,1373.201478,0,0
68,170310633031,15000US170310633031,0,0,0,1,6,971.8439631,679157.7402,0
69,170310812013,15000US170310812013,0,0,0,0,7,1756.575783,0,0
70,170310813003,15000US170310813003,0,0,0,1,0,0,0,0
71,170310813005,15000US170310813005,0,0,0,0,0,0,0,0
72,170310813001,15000US170310813001,0,0,0,0,0,0,0,0
73,170314312001,15000US170314312001,1,0,52,0,50,16684.26734,0,0
74,170314313023,15000US170314313023,2,5,71,0,20,5714.501418,0,0
75,170316915002,15000US170316915002,0,29,62,0,30,7489.650411,146742.3198,0
76,170314402021,15000US170314402021,0,0,21,1,40,11256.16501,0,0
77,170314403002,15000US170314403002,1,0,31,0,38,13619.00209,42650.30078,0
78,170316913002,15000US170316913002,2,1,39,0,33,12358.13502,0,0
79,170314701001,15000US170314701001,0,16,102,0,49,12460.58699,51907.40039,0
80,170314503001,15000US170314503001,0,4,49,0,42,12100.94249,0,2
81,170313807001,15000US170313807001,0,18,22,0,21,8220.928191,0,0
82,170313805001,15000US170313805001,0,6,0,1,0,0,49093.60156,0
83,170318420002,15000US170318420002,1,1,2,0,1,315.2049055,9.047030449,2
84,170313504001,15000US170313504001,0,0,0,0,0,0,49351.19922,0
85,170318392002,15000US170318392002,0,4,1,2,7,3172.852721,0,1
86,170313405001,15000US170313405001,1,0,0,0,16,4809.988425,65496.30078,0
87,170313403001,15000US170313403001,0,0,2,0,47,7992.74605,0,0
88,170318411002,15000US170318411002,0,1,2,0,21,6547.205636,3129.959961,0
89,170318411004,15000US170318411004,0,0,6,1,8,2922.219158,36750.59961,0
90,170313009002,15000US170313009002,0,8,9,0,23,5718.705035,0,0
91,170313008002,15000US170313008002,0,3,26,1,18,6958.602727,0,0
92,170313008001,15000US170313008001,0,3,27,1,33,6473.263208,0,1
93,170313007001,15000US170313007001,0,4,20,0,24,6720.682356,0,0
94,170313006002,15000US170313006002,0,0,3,0,18,7293.824519,0,0
95,170313006001,15000US170313006001,0,0,9,0,25,5611.573771,9492.570313,0
96,170313005002,15000US170313005002,0,0,11,0,15,6113.010524,0,0
97,170313005001,15000US170313005001,0,7,2,0,21,3479.436179,0,0
98,170318407001,15000US170318407001,0,2,4,1,11,3281.802856,0,0
99,170312925004,15000US170312925004,0,5,22,0,26,6142.970092,0,0
100,170312925003,15000US170312925003,0,1,23,0,20,4925.857299,0,0
101,170313902001,15000US170313902001,1,3,7,1,6,1937.512687,21067.90039,0
102,170313802002,15000US170313802002,0,13,7,0,21,3709.313649,0,0
103,170313802001,15000US170313802001,1,2,6,0,4,1339.77819,0,0
104,170318364002,15000US170318364002,0,19,15,0,15,4613.704957,37505.26953,0
105,170318364001,15000US170318364001,0,1,10,4,2,970.6730637,1198396.41,0
106,170313602001,15000US170313602001,0,5,0,7,7,933.775202,94151.70313,0
107,170318365001,15000US170318365001,0,4,0,6,4,820.7123197,1171290,0
108,170318396001,15000US170318396001,0,1,17,0,10,2596.022532,0,0
109,170313510003,15000US170313510003,0,0,1,8,0,0,58173.19922,0
110,170313510001,15000US170313510001,0,0,2,2,2,637.5500856,1099573,0
111,170312422001,15000US170312422001,0,0,6,0,38,7689.819633,0,0
112,170312421002,15000US170312421002,0,0,2,0,20,3752.553032,0,0
113,170312421001,15000US170312421001,0,0,6,3,15,3352.702691,0,0
114,170312420002,15000US170312420002,0,0,10,1,23,4702.617519,0,0
115,170312416002,15000US170312416002,0,0,4,2,24,7459.401056,30334,0
116,170312416001,15000US170312416001,2,0,4,0,17,4057.036444,0,0
117,170312415003,15000US170312415003,0,0,2,0,27,5628.877328,4806.560059,0
118,170312415002,15000US170312415002,0,0,3,0,28,4552.010075,0,0
119,170312415001,15000US170312415001,0,0,3,0,34,5632.967424,0,0
120,170312414004,15000US170312414004,1,2,5,1,31,5880.229327,0,0
121,170312414003,15000US170312414003,0,2,5,4,22,5526.122227,0,0
122,170311913013,15000US170311913013,0,0,11,0,19,5973.74564,0,0
123,170311912002,15000US170311912002,0,1,13,0,30,7959.045306,0,2
124,170311912001,15000US170311912001,0,1,16,0,26,7623.617844,0,0
125,170311911006,15000US170311911006,1,1,3,0,20,5594.1043,0,0
126,170311911005,15000US170311911005,0,0,10,0,16,6166.696127,50372.69922,0
127,170311911004,15000US170311911004,0,0,15,0,12,4694.363122,0,0
128,170311911003,15000US170311911003,0,0,7,0,33,8212.037143,0,0
129,170311911002,15000US170311911002,0,1,4,0,23,5333.344377,0,0
130,170311911001,15000US170311911001,0,0,3,1,21,5821.590278,0,0
131,170311910002,15000US170311910002,0,1,18,1,45,10411.30522,0,0
132,170311910001,15000US170311910001,0,0,10,0,24,6183.813151,0,0
133,170318318003,15000US170318318003,0,0,1,1,22,6493.199645,0,0
134,170311303002,15000US170311303002,0,0,2,0,18,5968.932874,0,0
135,170311303004,15000US170311303004,0,0,3,0,21,6631.815968,0,0
136,170311303001,15000US170311303001,0,0,3,0,19,3122.173232,117918,0
137,170311302001,15000US170311302001,1,0,6,15,34,8460.75449,373247.1392,0
138,170311301002,15000US170311301002,0,0,2,6,26,9334.956749,597698.3612,2
139,170311301001,15000US170311301001,0,0,3,0,29,8101.458421,0,0
140,170311204003,15000US170311204003,1,0,6,0,37,12156.40844,1184.209961,0
141,170311204002,15000US170311204002,1,0,3,1,38,10215.45369,3175.070068,0
142,170311204001,15000US170311204001,0,0,1,1,20,7773.738733,0,0
143,170311203006,15000US170311203006,0,0,2,0,12,4264.452893,0,0
144,170310306041,15000US170310306041,0,0,1,1,4,1331.313446,21796.30078,0
145,170317003013,15000US170317003013,0,0,19,6,3,508.1140788,0,0
146,170310801002,15000US170310801002,0,0,1,0,10,1546.001141,4409.899902,0
147,170310801007,15000US170310801007,0,0,0,0,4,509.1125238,0,0
148,170310810003,15000US170310810003,0,0,1,2,10,2131.118974,0,0
149,170310803002,15000US170310803002,0,1,7,0,8,2246.941709,0,0
150,170310810005,15000US170310810005,0,0,0,2,4,957.8322737,0,0
151,170310306043,15000US170310306043,0,0,0,0,4,1667.401111,0,0
152,170310301023,15000US170310301023,1,0,1,4,8,2620.938172,0,0
153,170310812011,15000US170310812011,2,0,2,0,10,1511.788334,0,0
154,170310816001,15000US170310816001,0,0,0,0,11,2395.361087,0,0
155,170310812022,15000US170310812022,0,0,2,0,6,1605.411297,1304.859985,0
156,170310815001,15000US170310815001,0,0,0,0,2,366.8637136,0,0
157,170310813006,15000US170310813006,0,0,0,0,0,0,7382.52002,0
158,170310813004,15000US170310813004,0,0,0,1,0,0,74085.82278,0
